00050cbb-049e-444f-a17a-04c882da4693-1	Chad went to get the wheel alignment measured on his car.	The mechanic provided a working alignment with new body work.	Chad was waiting for his car to be washed.	Chad was waiting for his car to be finished.	2
00050cbb-049e-444f-a17a-04c882da4693-1	Chad went to get the wheel alignment measured on his car.	The mechanic provided a working alignment with new body work.	Chad's car had all sorts of other problems besides alignment.	Chad's car had all sorts of benefits other than being sexy.	1
00050cbb-049e-444f-a17a-04c882da4693-1	Chad went to get the wheel alignment measured on his car.	The mechanic provided a working alignment with new body work.	Chad's mechanic said he had major alignment problems.	Chad's mechanic said he found no problems with his car.	1
00050cbb-049e-444f-a17a-04c882da4693-1	Chad went to get the wheel alignment measured on his car.	The mechanic provided a working alignment with new body work.	He ran into a pole on the way to the mechanic.	The mechanic ran into a pole on the way to him.	1
00050cbb-049e-444f-a17a-04c882da4693-1	Chad went to get the wheel alignment measured on his car.	The mechanic provided a working alignment with new body work.	the mechanic told him that he could fix his wheel.	the mechanic told him that he could not fix his wheel.	1
000731f7-c71d-49c8-b8cd-b6848933db99-1	Chad loves Barry Bonds.	Chad ensured that he took a picture to remember the event.	Chad went to meet Barry Bonds.	Chad failed to meet Barry Bonds.	1
000731f7-c71d-49c8-b8cd-b6848933db99-1	Chad loves Barry Bonds.	Chad ensured that he took a picture to remember the event.	Chad fought Barry Bonds.	Chad met Barry Bonds.	2
000731f7-c71d-49c8-b8cd-b6848933db99-1	Chad loves Barry Bonds.	Chad ensured that he took a picture to remember the event.	Chad got to meet Barry Bonds online, chatting.	Chad got to meet Barry Bonds.	2
000731f7-c71d-49c8-b8cd-b6848933db99-1	Chad loves Barry Bonds.	Chad ensured that he took a picture to remember the event.	Chad met Barry Bonds.	Chad ignored Barry Bonds.	1
000731f7-c71d-49c8-b8cd-b6848933db99-1	Chad loves Barry Bonds.	Chad ensured that he took a picture to remember the event.	Chad missed Barry Bonds.	Chad met Barry Bonds.	2
000731f7-c71d-49c8-b8cd-b6848933db99-1	Chad loves Barry Bonds.	Chad ensured that he took a picture to remember the event.	Chad missed meeting Barry Bonds.	Chad went to meet Barry Bonds.	2
000731f7-c71d-49c8-b8cd-b6848933db99-1	Chad loves Barry Bonds.	Chad ensured that he took a picture to remember the event.	Chad never got to meet Barry Bonds.	Chad got to meet Barry Bonds.	2
000731f7-c71d-49c8-b8cd-b6848933db99-1	Chad loves Barry Bonds.	Chad ensured that he took a picture to remember the event.	Chad never had the chance to meet Barry Bonds.	Chad got to meet Barry Bonds.	2
000731f7-c71d-49c8-b8cd-b6848933db99-1	Chad loves Barry Bonds.	Chad ensured that he took a picture to remember the event.	Chad saw Barry Bonds at Com-icon.	Chad attacked Barry Bonds at Com-icon.	1
000731f7-c71d-49c8-b8cd-b6848933db99-1	Chad loves Barry Bonds.	Chad ensured that he took a picture to remember the event.	Chad saw Barry Bonds at Com-icon.	Chad missed the flight to Com-icon.	1
000731f7-c71d-49c8-b8cd-b6848933db99-1	Chad loves Barry Bonds.	Chad ensured that he took a picture to remember the event.	Chad saw Barry Bonds on television.	Chad saw Barry Bonds at Com-icon.	2
000731f7-c71d-49c8-b8cd-b6848933db99-1	Chad loves Barry Bonds.	Chad ensured that he took a picture to remember the event.	Chad waited after a game and met Barry.	Chad waited after a game and met John.	1
